np, total, tiempo
  2,5761455,2752.3470369703
  3,5761455,1995.7377559763
  4,5761455,1529.8066156333
  5,5761455,1307.0413645098
  6,5761455,1097.5460364572
  7,5761455,901.5345673056
  8,5761455,810.3626859253
  9,5761455,726.0860627841
 10,5761455,675.1454911113
 11,5761455,614.4873773973
 12,5761455,582.6893809494
 13,5761455,538.8116767709
 14,5761455,517.5051396813
 15,5761455,483.6787102260
 16,5761455,470.7177404149
 17,5761455,442.7004591068
 18,5761455,433.7341506761
 19,5761455,410.6067604800
 20,5761455,403.7051837966
